2010-05-24 18:58:12,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-05-24 19:17:10,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-05-25 09:30:36,40.775789,-73.971787,I'm at Bow Bridge (Central Park, 75th St., New York). http://4sq.com/8cXe5q
2010-05-25 15:21:40,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-05-25 19:09:54,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-05-25 19:30:54,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York) w/ 3 others. http://4sq.com/8SaZwH
2010-05-25 19:49:34,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-05-26 08:32:52,40.782361,-73.968372,I'm at Central Park - Bridal Path (Central Park, at 84th St, New York). http://4sq.com/8HVm7L
2010-05-26 08:47:11,40.777454,-73.969874,I'm at Central Park - The Ramble (Central Park, New York). http://4sq.com/6d9JuZ
2010-05-26 08:56:44,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-05-26 09:30:06,40.753223,-73.974981,I'm at US Post Office - Grand Central (450 Lexington Ave, at 45th St, New York). http://4sq.com/6bi36I
2010-05-26 18:45:06,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-05-26 19:00:49,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York). http://4sq.com/8SaZwH
2010-05-26 19:35:52,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-05-27 15:58:53,40.799127,-73.975582,I'm at Riverside Park - Cherry Walk. http://4sq.com/cd4DAt
2010-05-27 16:19:41,40.796560,-73.974338,I'm at Riverside Park - Olmsted Wall. http://4sq.com/dqjZqe
2010-05-27 16:59:36,40.795638,-73.971420,I'm at texas rotisserie and grill (2581 broadway, 97th, New York). http://4sq.com/82Poht
2010-05-27 17:19:43,40.795879,-73.971489,I'm at Duane Reade (2589 Broadway, at 97th St, New York). http://4sq.com/4zbM5N
2010-05-28 10:31:27,40.794676,-73.971763,I'm at MTA Subway - 96th St (1/2/3) (West 96th Street & Broadway, New York). http://4sq.com/7q5nFe
2010-05-28 11:42:28,40.734421,-73.990120,I'm at Best Buy - Union Square NY (Store 1531) (52 East 14th Street #64, 4th Ave, New York). http://4sq.com/3LmjYJ
2010-05-28 11:53:38,40.734930,-73.991160,I'm at Whole Foods Market (4 Union Square South, btw Broadway & University Pl, New York) w/ 2 others. http://4sq.com/4E0RIC
2010-05-28 12:36:30,40.743429,-74.006937,I'm at The High Line (10th Ave, btw Gansevoort & 20th St, New York). http://4sq.com/49CntH
2010-05-28 13:42:19,40.750600,-74.008400,I'm at Pier 64 (201 Twelfth Avenue, West 25th St, New York). http://4sq.com/agSFRY
2010-05-28 17:16:04,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-05-30 16:50:28,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-05-30 21:30:25,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Avenue, 97th Street, New York). http://4sq.com/3ney5Y
2010-05-31 16:56:12,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
